구,동,아파트명,거래일자,거래연월,거래금액_만원,거래금액_억,전용면적,평수,평당가_만원,층,건축년도,연식,거래유형
상당구,금천동,현대,2024-07-01,2024-07,12000,1.2,70.22,21.241454413455138,564.9,8,1992,32,중개거래
서원구,모충동,청주모충LH트릴로채,2024-07-01,2024-07,27800,2.78,59.96,18.13781837981729,1532.7,7,2021,3,중개거래
흥덕구,송절동,청주테크노폴리스우방아이유쉘1단지,2024-07-01,2024-07,37200,3.72,73.1317,22.122239699921348,1681.6,2,2018,6,중개거래
상당구,용암동,청주용암주공1단지아파트(해누리),2024-07-01,2024-07,8100,0.81,49.8,15.064432210055054,537.7,8,1994,30,중개거래
흥덕구,강서동,이랜드타운힐스싱글스위트청주,2024-07-01,2024-07,6900,0.69,19.96,6.037872829572267,1142.8,3,2019,5,중개거래
서원구,개신동,휴먼시아,2024-07-01,2024-07,18800,1.88,59.9,18.119668461491923,1037.5,17,2001,23,중개거래
상당구,영운동,신라송림,2024-07-01,2024-07,16450,1.64,84.66,25.60953475709359,642.3,7,1995,29,중개거래
흥덕구,복대동,덕성,2024-07-01,2024-07,3100,0.31,22.68,6.860669126988928,451.9,15,1991,33,중개거래
청원구,사천동,청주사천푸르지오,2024-07-01,2024-07,34600,3.46,59.9798,18.14380785286466,1907.0,3,2018,6,중개거래
상당구,탑동,탑클래스아파트,2024-07-01,2024-07,13600,1.36,39.9,12.06969568636941,1126.8,13,2014,10,중개거래
청원구,율량동,럭키,2024-07-01,2024-07,18500,1.85,84.99,25.709359307883112,719.6,14,1991,33,직거래
청원구,내수읍 도원리,우창진주1,2024-07-01,2024-07,5000,0.5,59.955,18.13630588662351,275.7,11,1995,29,직거래
흥덕구,신봉동,주공,2024-07-01,2024-07,7110,0.71,39.72,12.015245931393308,591.7,2,1986,38,직거래
상당구,탑동,석탑,2024-07-01,2024-07,6500,0.65,58.185,17.600883296025167,369.3,1,1984,40,직거래
흥덕구,복대동,두산위브지웰시티2차,2024-07-01,2024-07,66000,6.6,80.135,24.240728416722124,2722.7,24,2015,9,중개거래
청원구,오창읍 창리,경희,2024-07-01,2024-07,4000,0.4,59.43,17.977494101276545,222.5,6,1992,32,중개거래
청원구,우암동,라임미소가,2024-07-01,2024-07,11500,1.15,48.4238,14.648133583398874,785.1,12,2017,7,중개거래
흥덕구,가경동,태암수정,2024-07-01,2024-07,19800,1.98,84.895,25.68062193720128,771.0,3,1997,27,중개거래
청원구,오창읍 창리,대원칸타빌아파트,2024-07-01,2024-07,31700,3.17,84.9653,25.701887591505837,1233.4,2,2017,7,중개거래
흥덕구,옥산면 가락리,흥덕코오롱하늘채아파트,2024-07-01,2024-07,24500,2.45,84.9824,25.707060318228567,953.0,3,2016,8,중개거래
상당구,용암동,현대3,2024-07-01,2024-07,21800,2.18,83.82,25.355435900538446,859.8,4,1995,29,중개거래
흥덕구,가경동,벽산,2024-07-01,2024-07,28800,2.88,124.65,37.70645532095106,763.8,3,1992,32,중개거래
흥덕구,신봉동,주공,2024-07-01,2024-07,10950,1.1,61.77,18.685340915965877,586.0,3,1986,38,직거래
흥덕구,신봉동,두진하트리움,2024-07-02,2024-07,12000,1.2,59.94,18.131768407042166,661.8,12,1993,31,중개거래
서원구,분평동,분평1단지뜨란채,2024-07-02,2024-07,15000,1.5,59.45,17.983544074051668,834.1,3,2000,24,중개거래
상당구,용암동,삼일무지개,2024-07-02,2024-07,12800,1.28,59.94,18.131768407042166,705.9,8,1994,30,중개거래
흥덕구,봉명동,극동주얼리,2024-07-02,2024-07,11000,1.1,59.67,18.050093774578013,609.4,6,1991,33,중개거래
흥덕구,운천동,진양,2024-07-02,2024-07,9000,0.9,55.8,16.879424042591808,533.2,3,1986,38,중개거래
흥덕구,가경동,대원,2024-07-02,2024-07,16050,1.6,59.94,18.131768407042166,885.2,4,1997,27,중개거래
서원구,분평동,분평주공2,2024-07-02,2024-07,10600,1.06,49.77,15.05535725089237,704.1,6,1997,27,직거래
상당구,금천동,풍림,2024-07-02,2024-07,18000,1.8,136.51,41.2940891765987,435.9,8,1992,32,직거래
흥덕구,비하동,청주비하1차대광로제비앙,2024-07-02,2024-07,38000,3.8,84.986,25.70814931332809,1478.1,15,2018,6,중개거래
흥덕구,운천동,형석,2024-07-02,2024-07,8350,0.84,39.69,12.006170972230624,695.5,1,1987,37,중개거래
