aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,구
105,청주용암주공1단지아파트(해누리),43111-61,2108,0000,1994,개인,,,"8,900",23,7,2024,직거래,,49.8,2,2108,1,N,24.12.12,원봉로,00052,00000,3236048,01,43111,0,43111,개인,12400,용암동,상당구
204동,장자마을현대(2단지),43111-50,0270,0000,2002,개인,,,"22,300",30,7,2024,중개거래,충북 청주시 상당구,84.8943,6,270,1,N,24.10.21,수영로,00328,00000,3236035,00,43111,,43111,개인,12000,금천동,상당구
104동,청주하트리움리버파크,43111-440,0655,0000,2019,개인,,,"38,000",9,7,2024,중개거래,충북 청주시 흥덕구,84.891,19,655,1,N,24.09.06,2순환로,02031,00000,3014065,00,43111,0,43111,개인,12600,방서동,상당구
101,부영,43111-95,2060,0000,1996,개인,,,"8,300",29,7,2024,직거래,,50.49,4,2060,1,N,24.08.23,월평로,00243,00000,3236049,01,43111,0,43111,개인,12400,용암동,상당구
103,삼일무지개,43111-56,2083,0000,1994,개인,,,"12,000",29,7,2024,직거래,,59.94,3,2083,1,N,24.08.20,무농정로,00103,00000,3236018,01,43111,0,43111,개인,12400,용암동,상당구
905동,장자마을부영(9단지),43111-92,0317,0000,2002,개인,,,"16,500",27,7,2024,중개거래,충북 청주시 상당구,59.2962,4,317,1,N,24.08.23,중고개로,00286,00000,3236055,02,43111,0,43111,개인,12000,금천동,상당구
303동,장자마을부영(324-3단지),43111-89,0324,0000,2003,개인,,,"20,800",26,7,2024,중개거래,충북 청주시 상당구,84.9916,3,324,1,N,24.09.09,호미로,00285,00000,3236062,00,43111,,43111,개인,12000,금천동,상당구
102,부영,43111-95,2060,0000,1996,개인,,,"9,700",22,7,2024,중개거래,충북 청주시 상당구,60,11,2060,1,N,24.09.27,월평로,00243,00000,3236049,01,43111,0,43111,개인,12400,용암동,상당구
102동,청주센트럴자이,43111-436,0654,0000,2018,개인,,,"44,700",27,7,2024,중개거래,충북 청주시 상당구,84.8479,7,654,1,N,24.09.27,단재로,00316,00000,3236065,00,43111,0,43111,개인,12600,방서동,상당구
103,삼진,43111-26,0041,0003,1992,개인,,,"5,700",29,7,2024,중개거래,충북 청주시 상당구,51.38,4,41-3,1,N,24.08.27,영운천로69번길,00056,00000,4508469,01,43111,0,43111,개인,11900,영운동,상당구
,대우타워,43111-2,0015,0001,1997,개인,,,"18,500",15,7,2024,직거래,,104.38,8,15-1,1,N,24.08.16,사북로,00164,00000,3236024,02,43111,0,43111,개인,10400,북문로3가,상당구
,삼진,43111-26,0041,0003,1992,개인,24.08.13,O,"5,700",29,7,2024,중개거래,충북 청주시 상당구,51.38,4,41-3,1,N,,영운천로69번길,00056,00000,4508469,01,43111,0,43111,개인,11900,영운동,상당구
101동,우성,43111-18,0005,0000,1991,개인,,,"15,750",30,7,2024,중개거래,충북 청주시 상당구,84.95,8,5,1,N,24.10.28,용담로63번길,00033,00000,4508500,02,43111,0,43111,개인,11800,대성동,상당구
101동,파모스라움아파트,43111-437,0222,0000,2018,개인,,,"20,500",31,7,2024,중개거래,충북 청주시 상당구,59.432,23,222,1,N,24.10.10,수영로,00180,00000,3236035,00,43111,0,43111,개인,11900,영운동,상당구
502동,청주동남파라곤아파트,43111-457,3163,0000,2022,개인,,,"42,500",27,7,2024,중개거래,세종,84.9455,10,3163,1,N,25.01.17,중고개로,00056,00000,3236055,00,43111,0,43111,개인,12400,용암동,상당구
102동,청주행정타운코아루휴티스,43111-452,0123,0000,2020,개인,,,"39,500",29,7,2024,중개거래,"충북 청주시 상당구, 충북 청주시 청원구",84.6871,13,123,1,N,24.09.27,중앙로,00080,00000,3236056,00,43111,0,43111,개인,10400,북문로3가,상당구
104동,세원한아름,43111-58,2064,0000,1994,개인,,,"13,300",25,7,2024,중개거래,충북 청주시 상당구,59.76,12,2064,1,N,24.09.27,무농정로,00090,00000,3236018,01,43111,0,43111,개인,12400,용암동,상당구
105,소라,43111-59,2082,0000,1994,개인,,,"12,400",22,7,2024,중개거래,충북 청주시 상당구,59.43,1,2082,1,N,24.10.31,원봉로,00021,00000,3236048,01,43111,0,43111,개인,12400,용암동,상당구
103,청주용정한라비발디,43111-376,1116,0000,2013,개인,,,"33,200",19,7,2024,중개거래,충북 청주시 상당구,84.92,8,1116,1,N,24.08.09,용정로,00025,00000,4571721,02,43111,0,43111,개인,12500,용정동,상당구
807,장자마을부영(320)-8단지,43111-88,0320,0000,2002,개인,,,"20,400",29,7,2024,중개거래,충북 청주시 상당구,84.9767,13,320,1,N,24.09.30,호미로,00261,00000,3236062,01,43111,0,43111,개인,12000,금천동,상당구
101,태산그린,43111-63,2076,0000,1995,개인,,,"12,500",13,7,2024,중개거래,충북 청주시 상당구,59.76,11,2076,1,N,24.10.04,원봉로,00020,00000,3236048,01,43111,0,43111,개인,12400,용암동,상당구
116동,청주센트럴자이,43111-436,0654,0000,2018,개인,,,"43,500",20,7,2024,중개거래,충북 청주시 상당구,84.7377,4,654,1,N,24.10.31,단재로,00316,00000,3236065,00,43111,0,43111,개인,12600,방서동,상당구
109동,청주센트럴자이,43111-436,0654,0000,2018,개인,,,"48,000",11,7,2024,중개거래,충북 청주시 상당구,84.8479,18,654,1,N,24.12.30,단재로,00316,00000,3236065,00,43111,0,43111,개인,12600,방서동,상당구
104동,시티프라디움1단지,43111-444,3146,0000,2020,개인,,,"44,400",31,7,2024,중개거래,충북 청주시 상당구,84.9954,3,3146,1,N,24.09.03,중고개로142번길,00031,00000,4857348,00,43111,0,43111,개인,12400,용암동,상당구
102,효성,43111-69,2086,0000,1994,개인,,,"14,200",27,7,2024,중개거래,"충북 청주시 상당구, 충북 청주시 흥덕구",59.22,13,2086,1,N,24.09.24,월평로,00221,00000,3236049,01,43111,0,43111,개인,12400,용암동,상당구
206동,시티프라디움2단지,43111-445,3147,0000,2020,개인,,,"44,000",26,7,2024,중개거래,충북 청주시 상당구,84.9954,24,3147,1,N,24.09.30,중고개로142번길,00017,00000,4857348,01,43111,0,43111,개인,12400,용암동,상당구
105,태산그린,43111-63,2076,0000,1995,개인,,,"13,600",6,7,2024,중개거래,충북 청주시 상당구,59.76,9,2076,1,N,24.09.23,원봉로,00020,00000,3236048,01,43111,0,43111,개인,12400,용암동,상당구
102,부영,43111-95,2060,0000,1996,개인,,,"11,500",22,7,2024,중개거래,충북 청주시 상당구,60,5,2060,1,N,24.09.30,월평로,00243,00000,3236049,01,43111,0,43111,개인,12400,용암동,상당구
809,장자마을부영(320)-8단지,43111-88,0320,0000,2002,개인,,,"20,000",23,7,2024,중개거래,충북 청주시 상당구,84.9767,12,320,1,N,24.08.16,호미로,00261,00000,3236062,01,43111,0,43111,개인,12000,금천동,상당구
102,태산그린,43111-63,2076,0000,1995,개인,,,"11,000",9,7,2024,중개거래,충북 청주시상당구,59.76,3,2076,1,N,24.08.01,원봉로,00020,00000,3236048,01,43111,0,43111,개인,12400,용암동,상당구
