동,위도,경도
가경동,36.6288623975897,127.433046117468
강내면 월곡리,36.6236558673473,127.36695034729
강내면 월탄리,36.6103553225166,127.354980900855
강내면 탑연리,36.6173387253184,127.360517279443
강내면 황탄리,36.5980508228584,127.349618222421
강서동,36.6187845743435,127.418806045484
개신동,36.624743502794,127.458763179238
금천동,36.6244437109155,127.499262949215
남문로1가,36.6299192640902,127.489638394595
남이면 가마리,36.5945774784031,127.460551398584
남이면 척북리,36.5740535817161,127.425526997175
남일면 효촌리,36.586721163391,127.511436626869
내덕동,36.6576793886817,127.4944355377
내수읍 내수리,36.7250373501447,127.529385349024
내수읍 도원리,36.7087628553826,127.543070942158
내수읍 마산리,36.7199992468389,127.536425022362
내수읍 우산리,36.7119574824603,127.597040045131
내수읍 은곡리,36.7052076713427,127.532159045808
대성동,36.6343826164068,127.49723844412
모충동,36.6277367878267,127.47673617018
문암동,36.6709437868103,127.448969562021
문화동,36.6343422341887,127.49220671315
미원면 미원리,36.6297465199773,127.670901867467
방서동,36.6025063258561,127.503605534689
복대동,36.6355252082049,127.432591426228
봉명동,36.6402085390693,127.459270830959
북문로2가,36.6390661571839,127.489092460071
북문로3가,36.6433526976365,127.4880236891
분평동,36.6086905362635,127.489173316427
비하동,36.6302053422603,127.416287380593
사직동,36.6362456170936,127.476193741075
사창동,36.6335884688597,127.458900583359
사천동,36.6720062328194,127.472489780933
산남동,36.6132494857069,127.466904217758
성화동,36.6114477818915,127.452746785498
송절동,36.664526863453,127.456793410394
수곡동,36.6183926172788,127.479741609875
수동,36.6421450641971,127.496773951644
신봉동,36.6589653773865,127.468786256617
영동,36.6424150986235,127.485481647239
영운동,36.618004162196,127.498850292467
오송읍 궁평리,36.620107749828,127.341923758559
오송읍 만수리,36.6306803066681,127.334144052297
오송읍 봉산리,36.6139906498552,127.314510216438
오송읍 서평리,36.5941300632588,127.314317845967
오송읍 연제리,36.6337083326091,127.320954572855
오송읍 오송리,36.6082161515086,127.334373499597
오송읍 정중리,36.6217958824441,127.304256956297
오창읍 각리,36.7052908521151,127.426446367618
오창읍 괴정리,36.727950710457,127.468081310795
오창읍 복현리,36.748442551031,127.436655387583
오창읍 양청리,36.723124215334,127.431882208368
오창읍 장대리,36.7392675491031,127.462847467359
오창읍 주성리,36.7344283989387,127.445416030551
오창읍 창리,36.7396435173441,127.455083957263
옥산면 가락리,36.6724054571913,127.384583579837
옥산면 오산리,36.6637129671018,127.370437846518
용담동,36.6389183635711,127.507196946405
용암동,36.6127305001122,127.508290728125
용정동,36.635501061847,127.526361493107
우암동,36.6492363833712,127.486866445706
운천동,36.6484761397905,127.475186506455
율량동,36.6638539046001,127.515682376257
주성동,36.6759298872128,127.502817298991
주중동,36.6852254990809,127.488176234716
죽림동,36.609849281421,127.441671683928
탑동,36.6294888640467,127.497819685813
